word,spell
مادر,/mādar/
مترو,/metro/
اسب,/'asb/
نوزاد,/no[w]zād/
پاکیزه,/pākize/
تاختن,/tāxtan/
رویان شناسی,/ruyānšenāsi/
رویاننده,/ruyānande/
بربست,/barbast/
آک,/'āk/
بربستن,/barbastan/
آقطی,/'āqti/
زری بافی,/zaribāfi/
لبن,/laban/
زری باف,/zaribāf/
چریدن گاه,/ča(e)ridangāh/
مدد,/madad/
مدخوله,/madxule/
ملل,/malal/
ملکیت,/melkiy[y]at/
دشنه,/dešne/
اکسیژن,/'oksižen/
اکسیژناسیون,/'oksiženāsiyon/
چریدنی,/ča(e)ridani/
غلغلک,/qelqelak/
آبار,/'ābār/
دشنگی,/dašangi/
لبنگ,/labang/
چترک,/čatrak/
باتون,/bātun/
چترکش,/čatrkeš/
باتوم,/bātum/
خیال اندیش,/xiyāl[']andiš/
فترت,/fatrat/
خیالاتی,/xiyālāti/
فتردن,/fetordan/
خاک اره,/xāk[']arre/
خاک آلود,/xāk[']ālud/
تقطیر,/taqtir/
تقطع,/taqatto'/
سازمندی,/sāzmandi/
سازمند,/sāzmand/
ناشادمان,/nāšād[e]mān/
الام,/'olām/
ناشایست,/nāšāyest/
الاله,/'alāle/
حزین,/hazin/
مندفع,/mondafe'/
مندرس,/mondares/
پراکن,/parākan/
اورند,/'o[w]rand/
اورنجن,/'o[w]ranjan/
اکتشاف,/'ektešāf/
هشت صد,/haštsad/
قدریه,/qadariy[y]e/
هشتگانه,/haštgāne/
اکتساب,/'ektesāb/
دالانه,/dālāne/
ممات,/mamāt/
ملیون,/melliy[y]un/
مستشیر,/mostašir/
د داری,
مستصحب,/mostasheb/
شیرک خانه,/širakxāne/
دز,/dez/
قدرناشناسی,/qadrnāšenāsi/
زبان آور,/zabān[']āvar/
اورا,/'urā/
دوشس,/dušes/
دوشک,/došak/
اوراد,/'o[w]rād/
رنگدانه,/rangdāne/
گریستن,/geristan/
ناخنک,/nāxonak/
اوابد,/'avābed/
تریاق,/ta(e)r[i]yāq/
توتک,/tutak/
مفتول,/maftul/
تریاسه,/ter[i]yāse/
سامر,/sāmer/
آلیزش,/'ālizeš/
آلیزارین,/'ālizārin/
میلی متر,/milimetr/
کازینو,/kāzino/
میلی گرم,/miligeram/
مستدل,/mostadal[l]/
آفدم,/'āfdom/
غریزی,/qarizi/
جهنم,/jahannam/
جهنده,/jahande/
مدرک,/madrak/
ژرمن,/žerman/
ژست,/žest/
سست ریش,/sostriš/
غریزه,/qarize/
مظلمه,/mazleme/
بیلسان,/baylasān/
مفتضح,/moftaze(a)h/
