word,spell
نوزاد,/no[w]zād/
مترو,/metro/
مادر,/mādar/
اسب,/'asb/
پاکیزه,/pākize/
تاختن,/tāxtan/
ستم کشیده,/setamke(a)šide/
ستم کش,/setamke(a)š/
جلبهنگ,/jalbahang/
تیرست,/tirast/
جلبیز,/jalbiz/
تیرک,/tirak/
تعمیم,/ta'mim/
گلوکوم,/gelu(o)kom/
تعمیق,/ta'miq/
گلوکزید,"/gelukozid, golokozid/"
باران گریز,/bārāngoriz/
پژمراننده,/pažmorānande/
بارانک,/bārānak/
پژمراندن,/pažmorāndan/
گذاره,/gozāre/
گذاشتن,/gozāštan/
نظافت,/ne(a)zāfat/
پرچاره,/porčāre/
پرچ,/parč/
نظام,/nezām/
صرام,/sorām/
رامشگاه,/rāmešgāh/
بی رنگی,/birangi/
صرافت,/se(a)rāfat/
چاره,/čāre/
رامشت,/rāmešt/
آماسیده,/'āmāside/
چاروادار,/čārvādār/
بی روزی,/biruzi/
پیش دامن,/pišdāman/
چوله,/čo[w]le/
چون,/čon/
دین,/deyn/
پیش داد,/pišdād/
آدم,/'ādam/
مجانق,/majāneq/
مجانست,/mojānesat/
لب شتری,/labšotori/
فایده,/fāyede/
فائح,/fā'eh/
شب زنده دار,/šabzendedār/
لبس,/lebs/
شب روی,/šabra(o)vi/
بازالت,/bāzālt/
تعزیت,/ta'ziyat/
بازایستادن,/bāz[']istādan/
طرفگی,/torfegi/
قرق,/qoroq/
روح,/ro[w]h/
طرفگیر,/tarafgir/
اعجمی,/'a'jami/
تعزز,/ta'azzoz/
اعجوبه,/'o'jube/
خوش قامت,/xošqāmat/
کالونی,/kāluni/
گوینده,/guyande/
بلادر,/balāda(o)r/
کالوینیسم,/kālvinism/
گویندگی,/guyandegi/
سوک,/suk/
شکاک,/šakkāk/
زای,/zāy/
گالیوم,/gāliyom/
گالینگور,/gālingor/
صیاد,/sayyād/
صیاغ,/sayyāq/
بیضی,/beyzi/
مغالطه,/moqālate/
جنس,/jens/
ذوزنقه,/zuzanaqe/
مغالبه,/moqālebe/
ذوسنطاریا,/zusentāriyā/
شوکت,/šo[w]kat/
گله آمیز,/gele'āmiz/
گله,/gal[l]e/
پولور,/pu(o)lover/
شوکران,/šo[w]karān/
پولکی,/pulaki/
ره انجام,/rah[']anjām/
رهاندن,/rahāndan/
تور,/tavar/
بصر,/basar/
داروش,/dāruš/
درودن,/dorudan/
بصایر,/basāyer/
تودیع,/to[w]di'/
نبیسه,/nabise/
معاشرت,/mo'āšerat/
مصانع,/masāne'/
نخ وار,/naxvār/
پنبه دانه,/pambedāne/
نبیل,/nabil/
معاشقه,/mo'āšeqe/
دراری,/darāri/
پنبه تخم,/pambetoxm/
رکو,/ro(e)ku/
هچه,/hače/
سنبک,/sombak/
هچل,/hačal/
استحلال,/'estehlāl/
استحلاف,/'estehlāf/
سنباننده,/sombānande/
شتابان,/šetābān/
گریه,/gerye/
گریوه نورد,/garivenavard/
ترک جوش,/torkjuš/
ترک تاز,/torktāz/
موشک دوانی,/mušakdavāni/
تشویق,/tašviq/
موشکافی,/mušekāfi/
تشویک,/tašvik/
انما,/'enmā/
فی الحال,/felhāl/
فی الجمله,/feljomle/
انگیل,/'angil/
احباب,/'ahbāb/
باتر,/bāter/
نقطه,/noqte/
احبار,/'ahbār/
قیاد,/qiyād/
قیادت,/qiyādat/
سخت کمان,/saxtkamān/
سخت کامه,/saxtkāme/
دل فگار,/delfagār/
دل فریب,/delfarib/
سعی,/sa'y/
قطاع,/qattā'/
آب گرم کن,/'ābgarmkon/
خنازیر,/xanāzir/
آب گز,/'ābgaz/
تمرگیدن,/tamargidan/
کلفت,/kalaft/
نافیه,/nāfiye/
تله تایپ,/teletāyp/
ثار,/sār/
گرگ پو,/gorgpu/
نافی,/nāfi/
تله پاتی,/telepāti/
ثابته,/sābete/
لاد,/lād/
سپیرک,/sapirak/
کالبا,/kālbā/
کالب,/kāleb/
سپیده دمان,/sepidedamān/
نویین,/nuyin/
جهان تاب,/jahāntāb/
گرگ پا,/gorgpā/
نوییدن,/nuyidan/
